names	in_Gavin	in_Krogan	unique_to_Gavin	unique_to_Krogan
UBX7	0	1	0	1
CHK1	0	1	0	1
RIF1	0	1	0	1
DPB3	0	1	0	1
PAF1	1	1	0	0
SAF1	0	1	0	1
DUG2	0	1	0	1
MRPL27	1	0	1	0
SSH1	0	1	0	1
APM3	1	1	0	0
SNF5	1	1	0	0
CTP1	0	1	0	1
PHO89	0	1	0	1
ILV6	1	0	1	0
SGF29	1	1	0	0
GBP2	1	1	0	0
BUD3	1	1	0	0
DCC1	0	1	0	1
NFS1	1	1	0	0
KCC4	1	1	0	0
BIK1	0	1	0	1
HIS4	0	1	0	1
RRP7	1	1	0	0
STE50	0	1	0	1
GFD2	0	1	0	1
SRO9	1	0	1	0
GID7	0	1	0	1
GLK1	0	1	0	1
PDI1	0	1	0	1
MGR1	0	1	0	1
POF1	0	1	0	1
SPB1	1	1	0	0
PRD1	0	1	0	1
KRR1	1	1	0	0
MRC1	0	1	0	1
VAC17	0	1	0	1
CHA1	0	1	0	1
CDC10	1	1	0	0
MRPL32	0	1	0	1
CIT2	0	1	0	1
SAT4	0	1	0	1
RVS161	1	1	0	0
PGK1	1	0	1	0
POL4	0	1	0	1
YCR016W	0	1	0	1
HTL1	0	1	0	1
RIM1	1	1	0	0
SYP1	1	1	0	0
RPS14A	1	0	1	0
BPH1	0	1	0	1
SNT1	1	1	0	0
RRP43	1	1	0	0
BUD5	0	1	0	1
TAF2	1	0	1	0
YCR043C	0	1	0	1
IMG1	1	0	1	0
BUD23	0	1	0	1
RSC6	1	1	0	0
THR4	0	1	0	1
PWP2	1	1	0	0
YIH1	0	1	0	1
TAH1	0	1	0	1
BUD31	1	1	0	0
HCM1	0	1	0	1
RAD18	0	1	0	1
IMG2	1	1	0	0
RSA4	1	1	0	0
SOL2	1	1	0	0
FUB1	0	1	0	1
PAT1	1	1	0	0
PTC6	0	1	0	1
SRB8	1	1	0	0
AHC2	0	1	0	1
TUP1	1	1	0	0
CSM1	0	1	0	1
FIG2	0	1	0	1
YCR090C	0	1	0	1
MSH3	1	0	1	0
CDC39	1	1	0	0
ADH7	0	1	0	1
NHP10	1	1	0	0
MCD1	0	1	0	1
ATP16	0	1	0	1
MED2	0	1	0	1
PTC1	0	1	0	1
RPT2	1	1	0	0
NOP1	1	1	0	0
TSC13	1	1	0	0
CDC7	0	1	0	1
ERP3	1	0	1	0
OSH2	1	1	0	0
RPN4	0	1	0	1
GPD1	0	1	0	1
ARP2	1	1	0	0
PRP9	1	1	0	0
DBP10	1	1	0	0
SLM3	1	0	1	0
PUS9	0	1	0	1
NAT1	1	1	0	0
SIR2	0	1	0	1
PRP11	1	1	0	0
MTF2	1	1	0	0
MRP10	0	1	0	1
SIT4	1	1	0	0
STP4	0	1	0	1
LHP1	1	1	0	0
PBP4	0	1	0	1
MCH1	0	1	0	1
PSA1	1	1	0	0
MBP1	0	1	0	1
USO1	1	0	1	0
RAD59	0	1	0	1
TSR1	1	1	0	0
PEX19	0	1	0	1
IDP1	1	1	0	0
CBS1	0	1	0	1
BDF2	0	1	0	1
BRE1	0	1	0	1
RPL31A	1	0	1	0
RXT3	1	1	0	0
VAM6	0	1	0	1
MDH3	0	1	0	1
RPP1A	0	1	0	1
RPL13A	1	0	1	0
SUB2	1	1	0	0
NDE2	0	1	0	1
LUC7	1	1	0	0
SRP14	1	1	0	0
PMT5	0	1	0	1
PMT1	0	1	0	1
RPN6	1	1	0	0
SNU23	1	1	0	0
BUG1	0	1	0	1
GET3	1	1	0	0
QRI1	0	1	0	1
KIN28	0	1	0	1
RRP42	1	1	0	0
TRM3	1	0	1	0
ATG20	1	0	1	0
IWR1	1	1	0	0
NUP84	1	1	0	0
CYK3	0	1	0	1
UBP1	0	1	0	1
HNT1	0	1	0	1
CDC48	1	1	0	0
RPP1B	0	1	0	1
STF1	0	1	0	1
LYS21	0	1	0	1
CDC53	0	1	0	1
PPH21	1	1	0	0
ARF2	0	1	0	1
SCM3	0	1	0	1
RPO21	1	0	1	0
BPL1	0	1	0	1
CCT4	1	1	0	0
YDL144C	0	1	0	1
COP1	1	1	0	0
RPN5	1	1	0	0
NOP14	1	1	0	0
ATG9	1	0	1	0
RPC53	1	1	0	0
SAS10	0	1	0	1
CLB3	1	1	0	0
CMR1	1	1	0	0
DHH1	1	1	0	0
CDC9	0	1	0	1
CDC36	1	0	1	0
FAP7	1	0	1	0
NRP1	1	0	1	0
SFA1	0	1	0	1
GLT1	1	0	1	0
PAR32	0	1	0	1
AIR2	1	1	0	0
YDL176W	0	1	0	1
PCL9	0	1	0	1
INH1	0	1	0	1
LYS20	0	1	0	1
VMA1	1	0	1	0
PPH22	1	1	0	0
UFD2	0	1	0	1
RPL35A	1	0	1	0
ARF1	1	0	1	0
SEC31	1	1	0	0
ASF2	0	1	0	1
YDL199C	0	1	0	1
